Created on,Problem,Solution,Priority,Skill Level, Estimated Cost of Repair - amount ,Status,Funding,Date Completed, Final Cost of Repair/Investment - amount ,Community,Volunteer or Groups,Contractor
2021-03-22 14:15,Sonnie's roof is approximately 30 years old and will need to be replaced in the near future,Roof is not currently leaking just making a note since it will need to be replaced relatively soon,Low,Low,,Complete,,2022-06-28,,Shelton Laurel,,Hyden Construction
2021-03-22 14:15,Down spout on left side of house does not connect to pipe to carry water away from home,Reconnect downspout on the left side of the home,Low,Low, $50 ,Complete,,2022-06-22,,Shelton Laurel,St. James (Wilmington),
2021-03-22 14:14,Back stairs are unsafe - no railings,"Remove old stair case and install a low rise (5"") set of stairs with a railing all constructed from pressure treated lumber",Urgent,High," $1,000 ",Complete,,2022-06-22,,Shelton Laurel,St. James (Wilmington),
2021-03-22 14:13,Laundry room linoleum flooring is a trip/fall hazard for the client. The washing machine tore up the floor over the years.,Remove linoleum flooring if possible - floor may be glued directly to subfloor. Install snap lock vinyl flooring system in the laundry room - approximately 120 sqft of flooring,Urgent,High," $1,500 ",Complete,,2022-06-23,,Shelton Laurel,St. James (Wilmington),
2021-03-22 14:11,Sonnie has difficulty going down the front stairs to reach her car,Install an ADA compliant ramp constructed from pressure treated lumber and install anti slip strips on the decking of the ramp. The ramp will need to be approximately 22' long and the client would prefer a switch back ramp instead of one long ramp out into the middle of the yard.,Urgent,High," $4,800 ",Complete,,,,Shelton Laurel,,
2021-03-22 14:09,Carpet in secondary bedroom is a trip/fall hazard for client,"Tear out carpet, padding and tack strips. If no hardwood flooring is underneath the carpet then install a snap lock vinyl floor system over the subfloor. Approximately 120 sqft of flooring",Urgent,High," $1,400 ",Complete,,,,Shelton Laurel,,Independent Living through NC Vocational Rehab
2021-03-22 14:08,Carpet in primary bedroom is a trip/fall hazard for client,"Tear out carpet, padding and tack strips. If no hardwoods underneath the carpet then install a snap lock vinyl floor - approximately 144 square feet of flooring",Urgent,High," $1,600 ",Complete,,2022-06-21,,Shelton Laurel,,Independent Living through NC Vocational Rehab
2021-03-22 14:06,Sonnie needs a bathroom modification due to her mobility issues. She has fallen 4 times recently trying to get in and out of the bathtub. She also needs a higher toilet.,Tear out the tub/shower combo and replace it with a no curb shower. In addition to the new shower she would benefit from a collapsible seat in the shower. Remove the old toilet and install a higher ADA compliant toilet,Urgent,High," $8,500 ",Complete,,,,Shelton Laurel,,
2021-03-18 9:25,Front ramp could use some attention to extend it's life expectancy since Mr. Wong will likely need it if he remains in the home,"Pressure wash the ramp, replace any rotten boards, joists or posts and stain the deck to seal out water. Also add anti slip protection to the ramp boards",Low,Low, $350 ,Archived,,,,Trust,,
2021-03-18 9:23,Back deck could use pressure washing and staining. Replace any rotten boards/joists on the deck,Pressure wash the back deck and replace any rotten boards or joists with pressure treated lumber. Stain the deck to extend the life expetancy,Low,Low, $300 ,Archived,,,,Trust,,
2021-03-18 9:14,Front door and back door drags the floor due to settling/swelling. No weather stripping.,Install new door.,Low,Low, $50 ,Complete,,2022-07-21,,Trust,,Allen Schular Construction
2021-03-18 9:13,Bathroom door drags floor due to settling,Sand or shave the bottom of the bathroom door to prevent it from dragging the floor,Low,Low, $50 ,Archived,,,,Trust,,
2021-03-18 9:12,Rats/mice getting into ductwork because it's close to the ground in the crawlspace. Sonny says that his home fills up with dust quickly after cleaning fairly often. He thinks that mice/rats have chewed holes in his ducts and introduced excess dirt/debris into the system.,Consult with an extermination company to help remediate the rodent issues,High,High, $600 ,Archived,,,,Trust,,
2021-03-18 9:08,Kitchen floor is deteriorating badly and it's a trip/fall hazard for Sonny. The floor also feels very soft/spongy in a few areas.,"Tear up kitchen floor down to joists, install vapor barrier if none and build the floor back with new snap lock linoleum flooring.",Urgent,High," $3,800 ",Complete,,2022-07-21,,Trust,,Allen Schular Construction
2021-03-18 9:06,"Sonny said that Madison County installed his heat pump and it does a poor job keeping him warm. He said his electric bill is outrageous and the downstairs of his home will not go above 67 degrees in the winter. The mini-split upstairs works great but no one lives up there anymore.

The condensate line for the heat pump is too close to the foundation and needs to be extending further out into the yard",Hire an HVAC contractor to make sure that Sonny's unit was sized appropriately for his home and to troubleshoot the issues that he's having.,Urgent,High," $1,500 ",Complete,,,,Trust,,
2021-03-18 9:04,Sonny installed a french drain himself many years ago on one side of the house. He would benefit from having a french drain go across the entire back of his home since there is a negative grade towards his home.,install a new french drain system behind the house and run it the entire length of the home,High,Low," $3,500 ",Complete,,2022-07-19,,Trust,,Allen Schular Construction
2021-03-18 9:02,Standing water in backyard behind house during heavy rain events or wetter parts of the year.,Sonny believes that the pipe from the spring reservoir on the hill behind the house was never terminated correctly. He thinks that the line is still connected at the box and needs to be cut off. Locate the lines at the spring box and terminate them. Cap the pipe at the box at if possible cap the line at the house it may be difficult to locate.,High,Low, $50 ,Complete,,2022-07-19,,Trust,,Allen Schular Construction
2021-03-17 14:10,"No interior finishes, running water, electricity or thermostatically controlled heat in the home",This repair seems to be far beyond the scope of what we could do,Urgent,High,,Archived,,,,Meadow Fork,,
2021-03-17 14:08,No insulation in the roof of the home.,"Because the roof is not vented there will need to be 2"" - 4"" of foam added underneath the roof decking to prevent condensation building up on the underside of the roof",Urgent,Low," $3,000 ",Archived,,,,Meadow Fork,,
2021-03-17 14:07,In the event of a wind driven rain the shingles on the edge of the roof are blowing up and allowing water to get underneath the shingles. The shingles are 27 years old and need to be replaced.,"Fredrick wants brown metal to match the color of gutters, 30 pound roofing felt laid on top of the existing shingles. Place 1 x 4 furring strips down on top of the shingles, put metal panels on top of the furring strips, add 6"" matching rake trim to the front and sides of the roof. Mr. Maehr would like the plumbing vent cut off and roofed over with metal on the upper shed roof. There is a vent on the lower roof that he would like covered in metal that matches the roof. Each roof is approximately 28' wide x 14' long. It's possible that all of the roof decking on both roofs may need to be removed and replaced due to deterioration over time.",Urgent,High," $6,800 ",Archived,,,,Meadow Fork,,
2021-03-02 14:48,Home would greatly benefit from a new roof as well as the additions. Front porch needs a new roof as well.,Tear off 5v and replace with tuff rib metal roofing. Put tuff rib metal on the additions as well.***update 4-30-21: spoke w Etta and roof is actively leaking in at least 2 rooms.,Urgent,High," $9,180 ",Complete,,," $8,322 ",Meadow Fork,,Hyden Construction
2021-03-02 14:48,Etta recently had a chimney fire and stopped using her woodstove completely. The chimney needs to be cleaned,Hire a chimney sweep to clean her chimney and inspect the flue,Urgent,High, $500 ,Waiting,,,,Meadow Fork,,
2021-03-02 14:47,Driveway is in really rough shape and could used shaping/new gravel,Hire a grading company to shape and regravel the driveway. Driveway from the fork is approximately 620 feet long and will require at least 6 loads of gravel - Road Bond ABCM or ballast,High,High," $5,800 ",Waiting,,,,Meadow Fork,,
2021-03-02 14:44,Hole in kitchen floor,Patch hole in kitchen floor and keep it from getting bigger,Low,Low, $150 ,Waiting,,,,Meadow Fork,,
2021-02-24 13:01,Deck and back stairs will need to be replaced soon,Replace deck and back stairs,High,High," $3,800 ",Archived,,,,Hwy. 19,,
2021-02-24 13:00,No thermostatically controlled heat in the house other than propane space heaters,Look into installing a thermostatically controlled heat source for the home. The air handler or compressor units would need to be higher than the base flood level.,High,High," $14,000 ",Archived,,,,Hwy. 19,,
2021-02-24 12:58,Basement floods frequently during heavy rainfall events and the sump pump cannot keep up. Sherry thinks that it's undersized for the amount of water that infiltrates the basement.,The house in the flood plain and the water table may be very close to the surface of the ground. Investigate and perform more due diligence around their sump pump before replacing the old one.,Low,High,,Archived,,,,Hwy. 19,,
2021-02-24 12:52,15 amp breaker supplying the kitchen is carrying too much of a load according to Sherry and the breaker trips frequently,Hire a licensed electrician to diagnose and repair,High,High, $250 ,Archived,,,,Hwy. 19,,
2021-02-24 12:51,Matthew Ponder of Mountain Well and Septic pumped out Sherry's tank and said that the tank was extremely old and failing. Sherry told me that it's an old concrete block tank.,Remove the old concrete block septic tank and install a new tank,Urgent,High," $3,600 ",Archived,,,,Hwy. 19,,
2021-02-24 8:33,Hallway bathroom accessibility,Refer to IL to see if they can help up fit the bathroom and widen the door frame to make it more accessible.,High,High,,Archived,,,,Mars Hill,,
2021-02-24 8:32,Primary bathroom sink drain has broken off,This is one of the many things that Lawrence said he is going to repair on his own when he gets his stimulus check.,Low,Low,,Archived,,,,Mars Hill,,
2021-02-24 8:31,Front stairs are unsafe and need to be replaced,"Replace front stairs with a 5' x 5' landing pad, stairs/handrails and concrete pad. This should only be done after the bigger issues regarding the roof, trash pile, heat and roaches are addressed.",Urgent,High," $1,500 ",Archived,,,,Mars Hill,,
2021-02-24 8:28,Massive trash piles around the property. Lawrence said that he's been wanting to get a truck so he can start hauling trash away to the landfill.,8 - 10+ Roll off dumpsters and an excavator with a thumb will be required for this clean up. It's a multi day project if volunteers are used to clean up the property.,Urgent,High," $4,500 ",Complete,,,,Mars Hill,,
2021-02-24 8:26,"No thermostatically controlled heat - their furnace is non functioning. They seem happy with the warmth of the kerosene heater and did not mention wanting to add another heat source or repair the one they have. I am concerned about the safety of the heater they are using. I left them one CO detector, one CO/Smoke detector combo and a fire extinguisher. Lawrence said he would install the CO and smoke detectors right away.",Work on finding a better thermostatically controlled heat source for them,Urgent,High,,Archived,,,,Mars Hill,,
2021-02-24 8:24,Original metal roof from 1998 is leaking,"Short term solution - Kool seal the entire roof $400 - $500

Long term solution - Install a new metal roof with 8 - 10"" of overhang along the edges - $4800",Urgent,High," $4,800 ",Complete,,2022-08-17,,Mars Hill,,Hyden Construction
2021-02-24 8:21,Out of control German Cockroach infestation,"This will require an exterminator and the infestation is very extensive spanning the entire home. Roaches were all over the ceilings, walls, floors, countertops etc.. during the day time. Cost is really unknown for this type of repair since it will require many follow-up visits.",Urgent,High," $1,000 ",Complete,Summer Group,2023-08-22," $1,600 ",Mars Hill,Christ Church (Raleigh),
2021-02-18 14:59,Plumbing issues in the home,"Install a new jet pump at the pressure tank  
Install a new 36 gallon pressure tank  
Install a new pressure switch  
Install a new 40 gallon electric hot water heater with a minimum 10 year warranty installed to the current NC Plumbing code.  
Electric hot water heater shall have a minimum energy factor of 0.92  
Repair/replace exterior hose bib on the southern gable end of the home  
Repair leaks at fixtures and PVC drain lines at kitchen sink and bathroom sink",Urgent,High," $4,100 ",Complete,,2021-07-12,,Grapevine,,Allen Schular Construction
2021-02-18 14:44,Drywall cracks are an eyesore and worrisome for Tammy,**Make sure a contractor makes a determination as to why this happened - unusual settling/continued settling etc. Repair drywall cracks in the kitchen along the ceiling in between the kitchen and living room. Paint to match the existing color scheme.**,Low,Low, $75 ,Archived,,,,Grapevine,,
2021-02-18 14:42,Bathroom knob is about to fall off,**Reattach bathroom door knob**,Low,Low, $5 ,Archived,,,,Grapevine,,
2021-02-18 14:41,Tub surround needs to be replaced with an ADA compliant tub/shower combo,Install a new tub and shower surround with ADA compliant grab bars,High,High," $3,500 ",Archived,,,,Grapevine,,
2021-02-18 14:40,Wood flooring in the bathroom is deteriorating rapidly due to exposure to water,**Install waterproof sheet linoleum flooring overtop of the hardwood flooring (approximately 40 sqft of flooring). Trim the edges of the floor with quarter round. Seal gap between the tub and flooring with a high quality silicone caulk.**,Urgent,High, $375 ,Complete,,,,Grapevine,,Allen Schular Construction
2021-02-18 14:39,Tammy needs a higher toilet she is started to have issues with the lower toilet,**Remove current toilet and install an ADA compliant elongated white ceramic toilet with a maximum 1.3 GPF rating**,Urgent,High, $350 ,Complete,,,,Grapevine,,Allen Schular Construction
2021-02-18 14:39,Bathroom fan needs to be upgraded to an 80 cfm fan w/light kit,"  * Upgrade vent fan to an 80 cfm fan with a light kit and properly vent the fan to the exterior through the roof. Roof penetrations shall be properly flashed with boots and sealants to prevent leaks
  * Vent pipe in the attic shall be rigid pipe and shall vent to the outside. 
  * Vent termination shall be rodent proof",High,High, $250 ,Complete,,,,Grapevine,,Allen Schular Construction
2021-02-18 14:38,**Replace all missing lighting globes throughout the home - approximately 8 missing globes on the interior of the home**,,Low,Low, $350 ,Complete,,,,Grapevine,,Allen Schular Construction
2021-02-18 14:38,**Replace existing smoke detectors with Smoke and Carbon Monoxide combination units**,**Replace existing smoke detectors with Smoke and Carbon Monoxide combination units**,Urgent,Low, $125 ,Complete,,,,Grapevine,,CHC
2021-02-18 14:37,Missing sections of vapor barrier in crawlspace,**Replace missing portions of the vapor barrier with 6 mil plastic sheeting**,Low,Low, $50 ,Complete,,,,Grapevine,,Allen Schular Construction
2021-02-18 14:36,**Install R-19 faced batt fiberglass insulation along the entire bottom of the home in between the floor joists.**,**Install R-19 faced batt fiberglass insulation along the entire bottom of the home in between the floor joists.**,High,Low," $1,100 ",Archived,,,,Grapevine,,
2021-02-18 14:36,**Regrade driveway and re-gravel the entire driveway. Cut back all vegetation from the driveway. Install an address marker at the bottom of the driveway.**,**Regrade driveway and re-gravel the entire driveway. Cut back all vegetation from the driveway. Install an address marker at the bottom of the driveway.**,Urgent,High," $2,800 ",Complete,,,,Grapevine,,Allen Schular Construction
2021-02-18 14:35,"**Replace rotten treads using pressure treated lumber. Stain stair treads using a high quality exterior wood sealant for decks, i,e Behr Advanced DeckOver or CHC approved equivalent.**","**Replace rotten treads using pressure treated lumber. Stain stair treads using a high quality exterior wood sealant for decks, i,e Behr Advanced DeckOver or CHC approved equivalent.**",Low,Low, $70 ,Complete,,2021-09-08,,Grapevine,,
2021-02-18 14:35,**Replace Globe for front porch light**,**Replace Globe for front porch light**,Low,Low, $75 ,Archived,,,,Grapevine,,
2021-02-18 14:35,**Replace rotten siding behind the oil storage tank - approximately 10 sqft. Replace with new siding and paint to match.**,**Replace rotten siding behind the oil storage tank - approximately 10 sqft. Replace with new siding and paint to match.**,High,Low, $250 ,Archived,,,,Grapevine,,
2021-02-18 14:34,Extremely wet at the back of house due to lack of sunlight and proper drainage,Install French drain system along the entire rear of the home - approximately 50 feet. French drain trench shall be filled with stone. Disturbed soil shall be seeded and covered with hay and or straw.,High,High," $3,500 ",Complete,,2021-07-05,,Grapevine,,
2021-02-18 14:33,Install a new exterior light fixture at the back door to replace existing broken fixture,Install a new exterior light fixture at the back door to replace existing broken fixture,High,High, $100 ,Complete,ESFR,2022-07-11,,Grapevine,,
2021-02-18 14:32,Back door needs to be replaced,**Replace the back door with a half light door with a new lockset that is keyed to match the front door.**,Urgent,High, $750 ,Complete,,,,Grapevine,,
2021-02-18 14:32,Tammy's mobility is decreasing and would benefit from a ramp,"Construct an ADA compliant handicap ramp made from pressure treated lumber with a maximum 1 in 12 pitch. Ramp shall land on a 5’x5’ concrete slab. Ramp will land near the parking area at the top of the driveway **  
**",Urgent,High," $2,500 ",Complete,,,,Grapevine,,Independent Living through NC Vocational Rehab
2021-02-16 15:25,Concrete stairs leading down to basement entrance do not have a handrail,Install a handrail for the concrete stairs leading down to the basement door.,Urgent,High, $350 ,Archived,,,,Walnut Community,,
2021-02-16 15:24,Back stairs are extremely unsafe leading down to the sidewalk,Remove existing stairs and construct a new set of stairs out of pressure treated lumber,Urgent,High," $1,000 ",Archived,,,,Walnut Community,,
2021-02-16 15:23,Furnace in the basement is not functioning and does not heat the house. Tamika is not able to use the oil she purchased to heat the house.,Hire a technician to diagnose and repair the furnace. Cost is unknown for this since the furnace is so old it could need to be completely rebuilt or replaced.,Urgent,High, $500 ,Archived,,,,Walnut Community,,
2021-02-15 13:15,Wood insects destroying exposed lumber in addition.,Enclosed exposed rafter tails.,High,High,,Complete,,2021-01-04,,Mars Hill,,Allen Schular Construction
2021-02-15 13:13,There was not an address was visible from the road.,Install new address marker to allow emergency vehicles up driveway if needed.,Urgent,Low,,Complete,,2021-01-04,,Mars Hill,,
2021-02-15 13:12,House didn't meet current R value for insulation.,Add insulation to meet code to R 38.,High,High,,Complete,,2021-01-04,,Mars Hill,,Allen Schular Construction
2021-02-15 12:46,Water heater full of sediment.,Install new energy efficient water heater.,High,High,,Complete,,2021-01-04,,Mars Hill,,Allen Schular Construction
2021-02-15 12:44,Hole in crawlspace where vent fell out.,Stucco over it.,Urgent,High,,Complete,,,,Mars Hill,,Allen Schular Construction
2021-02-11 10:24,There is a hole in the crawlspace where a vent fell out and small animals are able to get in.,Stucco over it.,High,,,Complete,,2021-01-04,,,,Allen Schular Construction
2021-02-10 15:00,Water heater full of sediment.,,High,High,,Complete,,2021-01-04,,,,Allen Schular Construction
2021-02-10 14:59,House is not well insulated and does not meet R value.,Spray insulation to get it up to code R 38.,High,High,,Complete,,2021-01-04,,,,Allen Schular Construction
2021-02-10 14:58,Hole in crawlspace where vent fell out.,Stucco over it to keep rodents out.,High,High,,,,2021-01-04,,,,Allen Schular Construction
2021-02-10 14:56,There is a hold in the crawlspace where vent fell out.,Stucco over hole to keep rodents out.,,,,Complete,,2021-01-04,,Mars Hill,,Allen Schular Construction
2021-02-10 14:00,Soft floor in primary bathroom near the toilet. Kathy's brother replaced the floor in the bathroom after a previous leak and this new leak made the floor spongy again.,Tear out floor in bathroom while working on the shower and install a plywood floor instead of particle board.,High,High, $500 ,Waiting,,,,Wolf Laurel,,
2021-02-10 13:58,Toilet in guest bathroom is too low for Kathy to use and requires a chair. Kathy would like an ADA approved elongated toilet to be installed,Install an ADA compliant elongated toilet,High,High, $600 ,Waiting,,,,Wolf Laurel,,
2021-02-10 13:54,Shower pan in primary bathroom is cracked and leaking. Jay tried using an epoxy to seal the crack and that seemed to work well for awhile. He said he's not able to clean near the epoxy for fear of it coming off.,Tear out old mobile home shower stall and install a new one.,High,High," $1,500 ",Waiting,,,,Wolf Laurel,,
2021-02-10 9:40,Her home is dangerous and there are too many repairs to make it a safe place to live.,Provide a new home for her to live in.,Urgent,High," $60,000 ",Complete,,2021-01-01,,,,
2021-02-09 14:08,Front right deck corner is not supported by a concrete block,Jack up the porch about an inch from where it currently sits. Clear out the area underneath the post and level a pad large enough to fit half of a cap block. Lower the deck down onto the caps blocks by releasing the jack slowly.,High,Low, $50 ,Archived,,,,Walnut Community,,
2021-02-09 14:01,Portions of the facia on the back of the house have rotted and need to be replaced. Gutters are also missing from the back of the house and need to be installed while working on the facia.,Replace rotten facia and install gutters/downspouts on the back of the home,High,High, $500 ,Archived,,,,Walnut Community,,
2021-02-09 13:59,Back deck and wooden walkways are failing due to the bank eroding during heavy rain events.,tear off back deck and walk way. Install railroad tie terraces behind the home to prevent the slope from further eroding. Rebuild a simple 8 x 8 deck and stairs down to the driveway.,Urgent,High," $3,800 ",Archived,,,,Walnut Community,,
2021-02-09 13:57,Electrical load/demand in the house is greater than what the box can handle according to Caryn,Consult with an electrician to determine best course of action,High,High, $250 ,Archived,,,,Walnut Community,,
2021-02-09 13:56,No safety railings around stair opening on second floor - very dangerous,Install a safety railing around the stair opening,Urgent,High, $500 ,Archived,,,,Walnut Community,,
2021-02-09 13:54,Windows are very inefficient and Caryn's electrical bill will sometimes top $600.00,Install new insulated/double pane windows throughout the home,Low,High," $3,400 ",Archived,,,,Walnut Community,,
2021-02-09 13:50,"Grey water for the house (sinks, tubs and showers) runs out into a ditch to the left of the driveway. The grey water ponds in this area and rarely dries up/drains - mosquitos and gnat issues in the warmer months","Connect the showers/tubs, sinks to the septic tank or enquire about installing a grey water pit that will properly drain. Cost is a major unknown with this repair.",High,High," $1,000 ",Archived,,,,Walnut Community,,
2021-02-09 13:47,Minor plumbing issues in the home. Shower fixture downstairs sprays outward and it's unclear if the water is leaking back into the wall. Kitchen sink drain leaks and needs to be replumbed using PVC and replace cabinet floor while plumbing is torn out. Caryn is also concerned that the washing machine may not be hooked up to any plumbing. She said it sounds like water is flowing under the house when the washer drains.,"Replace the plumbing fixture in the shower and plumb properly. Replace drain in kitchen and install a new cabinet floor out of 1/2"" plywood. Verify that the washing machine drains out to the grey water pit",High,High, $150 ,Archived,,,,Walnut Community,,
2021-02-09 13:46,Old 5V metal roof is leaking in a few spots mainly in the living room. The roof already has a layer of KoolSeal on it.,Tear off old 5V metal roof and replace with a 50 year painted Tuff Rib metal roof or equivalent. Replace plumbing boots and flashing around chimney.,Urgent,High," $7,500 ",Archived,,,,Walnut Community,,
2021-01-14 10:27,Monitor heater not functioning.,Repair.,Urgent,High, $550 ,Complete,,2021-01-01,,Marshall,,
2021-01-05 9:15,Ember's pipe burst and her hot water heater stopped working. The water heater is over 25yrs old and should be replaced rather than repaired. She currently does not have running water to her home.,Repair broken plumbing in crawlspace and replace 40 gallon water heater.,EMERGENCY,," $1,500 ",Complete,,2021-01-27,,Spring Creek,,Autry Plumbing
2020-12-07 15:21,Broken storm windows,"See if suitable replacements can be located - the storm windows are approximately 25"" wide x 26"" high. One of the windows fell out of the track and it may just need to be repaired.",Low,Low, $100 ,Archived,,,,Hot Springs,,
2020-12-07 15:17,Front steps and railings are becoming very unsafe for Shelby who is 84,Install a 1/12 handicap ramp constructed from PT lumber on the front of the home and the ramp should land near her parking area. The ramp will need to be approximately 33' long and may need a switchback to fit in the allotted space.,Urgent,High," $4,500 ",Complete,,,,Hot Springs,,
2020-12-07 15:15,Gutters on front and back of home need to be replaced,"Replace any rotten 1x4 facia with PT 1x4 and paint white to match. Install 40' of 5"" white K-style gutters on the front and 40' on the back of the home. Reinstall/reuse 2 x 3 downspouts if possible.",Urgent,High," $1,000 ",Archived,,,,Hot Springs,,
2020-12-07 14:52,Son's window is leaking and causing the sill to rot,Install a new energy efficient window,High,High, $375 ,Archived,,,,Hot Springs,,
2020-12-07 14:51,Insulation missing from underneath home,install r-19 faced batt fiberglass insulation underneath home (approx 1400 sqft). Make sure faced portion is up against the subfloor. Approx 32 rolls will be needed. Secure Insulation in place with strapping,Urgent,Low," $1,350 ",Archived,,,,Hot Springs,,
2020-12-07 14:46,Multiple holes in drywall and walls throughout home,"patch holes as needed throughout home, repaint and seal",Low,Low, $75 ,Archived,,,,Hot Springs,,
2020-12-07 14:45,Single pane glass back door is sweating and molding,"Replace back door with new energy efficient half light double pane glass door - 32"" x 82"" door",High,High,,Archived,,,,Hot Springs,,
2020-12-07 14:44,Bathtub and surround are leaking badly. Tub is cracked,"Replace tub and surround - Tub is standard size 60""",Urgent,High, $700 ,Archived,,,,Hot Springs,,
2020-12-07 14:33,"***This is such a large job the full scope/cost is a best guess*** Excess moisture underneath home has contributed to extensive rot to the flooring system in almost half of the home. One of the main beams under the home has already failed and the floor is bowed in an approximately 14' x 36' (500 - 550sqft) section of the house encompassing the living room, dining room and a part of a closet. Extensive mold growth was found underneath of the house. The home does not appear to have had a vapor barrier in the crawlspace.","Tear out the rotten portions of the floor, sill plates, rim joists, studs, etc. and rebuild the flooring system using pressure treated lumber. Install a 6 mil vapor barrier underneath the home and re-insulate the floors. Place high quality OSB (Advantech 3/4) subfloor over the joists and install a finished floor. The rest of the crawlspace will likely need mold remediation and proper ventilation.",EMERGENCY,High," $10,000 ",Complete,,2020-12-23,,Hot Springs,,Allen Schular Construction
2020-12-02 13:26,Wood stove mat in the living room is torn and sharp metal sticks up and has cut Ashley. Ember has the new fireproof mat but cannot move the stove to replace it.,Get two strong backs to replace wood stove protective mat.,Urgent,, $-   ,Complete,,2020-12-18,,Spring Creek,,
2020-11-18 13:17,"In need of a ramp. Per conversation with home health worker, Lynn Wood, Judy had to take 3 breaks from car to porch just navigating steps, she is very easily winded.",A ramp would not be very difficult to build here. Discuss further at Client Triage.,Urgent,High,,Archived,,,,East Fork,,
2020-11-18 11:06,Window is leaking under the AC in the living room,Seal/flash the window as necessary to prevent moisture from entering the home. Installing a roof with an overhang should really help or solve this issue.,High,Low, $100 ,Archived,,,,Revere/Sodom,,
2020-11-18 11:04,Back stairs have failed and need to be replaced,Install a new set of stairs with a minimum 4' x 4' porch and concrete landing pad,Urgent,High," $1,500 ",Archived,,,,Revere/Sodom,,
2020-11-18 11:02,Roof is leaking and is original to the mobile home (1999),"Install a new metal roof with 10"" - 12"" overhangs - home is 64 x 14 with a 3/12 pitch",Urgent,High," $4,910 ",Complete,,2021-05-26,,Revere/Sodom,,Hyden Construction
2020-11-18 10:29,Last group of volunteers threw away the screens on her windows,See if we can find some new screens for some of her windows,Low,Low, $300 ,Waiting,,,,Marshall,,
2020-11-18 10:28,Shower surround has a gap and water leaks down around the edges of the tub,Seal around the tub with silicone caulk so that water is not able to reach the particle board subfloor,Urgent,Low, $40 ,Complete,,,,Marshall,,
2020-11-18 10:25,Exterior lights are not working,Replace older light with a new exterior light,High,High, $100 ,Complete,,2021-08-04,,Marshall,St. James (Wilmington),
2020-11-18 10:24,Betty needs help clearing brush and briars around her well house and on the hill above her home,See if a volunteer would go by and help her clear the brush or this would make a great low skill NHN project,Low,Low,,Waiting,,,,Marshall,,
2020-11-18 10:23,Back porch and ramp needs to be re-worked. Ramp is very unsafe. Christopher was in a wheel chair for several years after a surgery and someone constructed this ramp for him. It really needs to be replaced with a set of stairs or a 1 in 12 ramp for the future. The back porch needs to be pressure washed and any rotten wood needs to be replaced.,Pressure wash back porch and replace any rotten lumber. Remove ramp and install a new ramp or a set of stairs,Urgent,High," $1,600 ",Complete,,2021-07-07,,Marshall,St. Mary's (Kinston),
2020-11-18 10:21,Bathroom faucet is broken. Christopher is extremely strong and doesn't know his own strength sometimes. He accidently broke the faucet,Install a new bathroom faucet,Urgent,High, $125 ,Complete,,2021-07-07,,Marshall,St. Mary's (Kinston),
2020-11-18 10:19,Kitchen faucet hot water knob is broken,Install a new kitchen faucet,Urgent,High, $125 ,Complete,,2021-07-09,,Marshall,Forsyth United Methodist Church,
2020-11-18 10:18,Floors in the living room around the windows are rotting out due to leaky windows,tear up wet/rotten/spongy flooring and repair joists as well as subfloor. Install finished floor to match,Urgent,High," $1,500 ",Complete,,2021-08-04,,Marshall,St. Mary's (Kinston),
2020-11-18 10:17,Back door is falling apart and needs to be replaced,Purchase a new mobile home door and install,Urgent,High, $500 ,Complete,,2021-07-20,,Marshall,Holy Trinity,
2020-11-18 10:17,Front door needs to be replaced,Purchase a new mobile home door and install,Urgent,High, $500 ,Complete,,2021-07-20,,Marshall,Holy Trinity,
2020-11-18 10:07,Leaky roof without overhangs/eaves is allowing water to enter the home around the edges of the mobile.,"Install a new roof with at least 10"" - 12"" of overhang to keep water from entering along the edges of the roofline. This should also keep water off the windows, which are also leaking badly and causing the floors to rot",Urgent,High," $5,610 ",Complete,,2021-06-21,,Marshall,,Hyden Construction
2020-10-28 14:03,"Water is leaking in around the ceiling of the bump out in the basement. I was not able to see exactly where the water was coming from, but it appears that this addition/bump out was improperly flashed. The metal flashing was put underneath of the asphalt shingles. You can see evidence of the water along the beam in basement.",Work to determine the exact source of the water entering the basement ceiling along the beam. I do not think it's coming from the siding unless the home is not sheathed or wrapped underneath the wood siding.,Urgent,High,,Archived,,,,Marshall,,
2020-10-28 14:00,2nd story Window frame is leaking and water is entering the interior of the home. Rupa also thinks that water is getting behind the siding of the home and that could only happen if the home is not sheathed. I was not able to tell if the home was sheathed or wrapped to prevent water from entering behind the siding.,Will need a really long extension ladder or scaffolding to reach the window. It's approximately 20 - 25 feet off the ground. The window frame needs to be thoroughly sealed with silicon caulk to prevent water from entering the interior of the home.,Urgent,High, $50 ,Archived,,,,Marshall,,
2020-10-22 9:59,Bronson would like the carpet replaced in his home with some type of laminate flooring. He seems capable of doing it on his own with some help. This could be a great ESFR project,"Remove carpet, padding and tack strips. Install new laminate flooring in their home",High,High," $3,500 ",Complete,,2021-07-01,,Grapevine,,Allen Schular Construction
2020-10-22 9:57,Insulation is falling out from underneath their home,Install new insulation under their home,High,Low, $500 ,Complete,,,,Grapevine,,
2020-10-22 9:57,Rita and Bronson's Oil furnace is not working because a flex duct pipe in their crawlspace has broken. All of the heat is blowing directly into the crawlspace and Bronson is not able to make the repair himself,Hire an HVAC company to make repairs to their oil furnace and service it before winter arrives,Urgent,High,,Complete,,2021-07-01,,Grapevine,,
2020-10-21 14:38,Extensive mold growth in several rooms of the house,May need to look into mold remediation after the roof is completed so Mickey can stay in her home,Urgent,High,,Archived,,,,Marshall,,
